"method","rmse_theta","rmse_theta_R","rmse_theta_map","rmse_phi","rmse_B","coverage_B","width_B","perplexity","time","theta_kind","phi_init","iters_converged","converged","polish_n_converged","scenario","replicate","seed"
"stm",0.11184039402701,0.11184039402701,0.11184039402701,0.00577667109091766,0.941189215816729,0,0.185908645889243,161.686698593773,29.6668119430542,"posterior","random",NA,NA,NA,"baseline",26,2026414573
"gscamm",0.12002784331892,0.218986247376801,0.105344474313378,0.00398962511415634,0.64952523803975,0.833333333333333,1.67005039806199,229.832154727253,8.76601123809814,"structural","kmeans",40,TRUE,269,"baseline",27,1968300777
"gscamm_boot",0.12002784331892,0.218986247376801,0.105344474313378,0.00398962511415634,0.667755636466752,1,6.26889340970782,229.832154727253,911.516647815704,"structural","kmeans",40,TRUE,269,"baseline",27,1968300777
"lda",0.124688186158254,0.124688186158254,0.124688186158254,0.00478807410456535,0.798484981418276,0.111111111111111,0.185015788464808,198.818255649881,53.7622511386871,"posterior","random_dirichlet",NA,NA,NA,"baseline",27,1968300777
"stm",0.108839087569312,0.108839087569312,0.108839087569312,0.00604846569496275,0.885232220298894,0.0416666666666667,0.111783567361004,201.607932979766,38.9799172878265,"posterior","random",NA,NA,NA,"baseline",27,1968300777
"gscamm",0.155648892182151,0.224183694416304,0.129087849455015,0.00404613492931104,0.912501194800752,0.666666666666667,1.79948974137236,198.323337152321,8.38424158096313,"structural","kmeans",43,TRUE,222,"baseline",28,99596103
"gscamm_boot",0.155648892182151,0.224183694416304,0.129087849455015,0.00404613492931104,0.955777450889153,1,7.18502474766645,198.323337152321,1053.83163142204,"structural","kmeans",43,TRUE,222,"baseline",28,99596103
"lda",0.0620450186441506,0.0620450186441506,0.0620450186441506,0.00394099710238719,0.636719759031338,0.208333333333333,0.231057061393661,166.366088708033,30.0582513809204,"posterior","random_dirichlet",NA,NA,NA,"baseline",28,99596103
"stm",0.084852004870612,0.084852004870612,0.084852004870612,0.00493607277863676,1.00937045630222,0.0277777777777778,0.143482520834055,171.704146622181,25.5509459972382,"posterior","random",NA,NA,NA,"baseline",28,99596103
"gscamm",0.143797670104656,0.241725010730654,0.142024341729623,0.00483629908198247,0.736558492504728,0.75,1.72280332339179,210.977849072913,12.3110098838806,"structural","kmeans",40,TRUE,262,"baseline",29,1033505728
"gscamm_boot",0.143797670104656,0.241725010730654,0.142024341729623,0.00483629908198247,0.787719448554702,0.986111111111111,6.6657347890865,210.977849072913,956.133959293365,"structural","kmeans",40,TRUE,262,"baseline",29,1033505728
"lda",0.0829611991773724,0.0829611991773724,0.0829611991773724,0.00398226493108619,1.00679462170333,0,0.188856273538013,177.568033838868,63.2472414970398,"posterior","random_dirichlet",NA,NA,NA,"baseline",29,1033505728
"stm",0.114814683676985,0.114814683676985,0.114814683676985,0.00622163456299141,1.0864228997852,0.0138888888888889,0.140944169320815,181.420214310424,31.7704222202301,"posterior","random",NA,NA,NA,"baseline",29,1033505728
"gscamm",0.149011300579204,0.214169669127094,0.108780129500817,0.00388556005499476,0.958064175846129,0.666666666666667,1.70098455270166,192.694264289055,13.0715556144714,"structural","kmeans",42,TRUE,233,"baseline",30,1966158718
"gscamm_boot",0.149011300579204,0.214169669127094,0.108780129500817,0.00388556005499476,0.917751314659212,1,6.39396521420155,192.694264289055,1033.51074743271,"structural","kmeans",42,TRUE,233,"baseline",30,1966158718
"lda",0.100063562002673,0.100063562002673,0.100063562002673,0.00394099336208777,1.18695364963416,0.0277777777777778,0.267308696600743,160.998661760516,32.6622447967529,"posterior","random_dirichlet",NA,NA,NA,"baseline",30,1966158718
"stm",0.129136119024543,0.129136119024543,0.129136119024543,0.00565520395561535,0.983749917356193,0.0972222222222222,0.157025996733958,165.338462121727,27.3854768276215,"posterior","random",NA,NA,NA,"baseline",30,1966158718
"gscamm",0.142004740631702,0.205657373173834,0.08414140652012,0.00401570982377535,0.829566833437651,0.569444444444444,1.62161822366747,195.436706333075,10.0393373966217,"structural","kmeans",40,TRUE,266,"baseline",31,1281680709
"gscamm_boot",0.142004740631702,0.205657373173834,0.08414140652012,0.00401570982377535,0.776643419146285,1,6.0029373844645,195.436706333075,1016.21572375298,"structural","kmeans",40,TRUE,266,"baseline",31,1281680709
"lda",0.0806963981358743,0.0806963981358743,0.0806963981358743,0.00403087436618496,1.00945101766704,0.152777777777778,0.23100558425793,163.808281760457,43.0700359344482,"posterior","random_dirichlet",NA,NA,NA,"baseline",31,1281680709
"stm",0.137709954324407,0.137709954324407,0.137709954324407,0.00458407822217587,1.31009897868922,0.0555555555555556,0.153334979731142,165.458453388226,25.7405714988708,"posterior","random",NA,NA,NA,"baseline",31,1281680709
"gscamm",0.141226596123369,0.214692024343303,0.0997692553759226,0.0039450058685391,0.937746030929663,0.625,1.70471032715012,191.111771420489,11.7926967144012,"structural","kmeans",39,TRUE,270,"baseline",32,283800733
